split_type,feature_set,model_name,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,n_seeds
stratified,esg_only,random_forest,0.6753246753246753,0.036219048767708914,0.6784752588999252,0.12203544282058779,0.5531641604010025,0.056781204671273976,0.5688709429282266,0.07093438917453379,0.6612241853238171,0.0414035795664921,0.8034238765794217,0.03437135789039828,10
stratified,esg_only,xgboost,0.6610389610389611,0.03746527536522737,0.594741040209738,0.06908962384685519,0.5617872807017543,0.0564233775977682,0.5658386408432674,0.058685850527009975,0.6521160295199969,0.037808307135842385,0.7638775098995964,0.03538407819769378,10
stratified,financial_enriched,logistic_regression,0.5233766233766233,0.04937722380124286,0.5057777455644965,0.04507413574683762,0.5253054511278196,0.06801220040959671,0.47381834477536844,0.04583634285068729,0.5560988188447664,0.04887642483721893,0.7204538102352952,0.055771265493068344,10
stratified,financial_enriched,naive_bayes,0.33636363636363636,0.0601248677245599,0.4707859338531975,0.05945177585650199,0.4549968671679198,0.07583160820973311,0.3325676991928693,0.05476652385392731,0.37974072331974706,0.06706615790012188,0.6431815793681395,0.05287196153753797,10
stratified,financial_enriched,random_forest,0.7064935064935065,0.06368199324132746,0.6578489164257639,0.1576138075072629,0.5569313909774436,0.06372835155183218,0.5642753717081026,0.07626093039422206,0.6884207408851278,0.0637993537739199,0.8397333621370275,0.02386714307438001,10
stratified,financial_enriched,xgboost,0.6909090909090909,0.06444257685170009,0.6580742767725869,0.0895509693811788,0.6148496240601504,0.07127920879284874,0.6287080353852861,0.07645689263946032,0.6871343757215731,0.06482541229551764,0.8074235965753823,0.03241042092126618,10
stratified,financial_only,logistic_regression,0.43896103896103894,0.05769119047258068,0.5214183915047174,0.03980183131190176,0.5135260025062657,0.05890073839386637,0.41868895262270867,0.05059750398971351,0.49114311980994413,0.05895289393859868,0.6995069260835238,0.04653680402295297,10
stratified,financial_only,naive_bayes,0.29220779220779225,0.04550605203815721,0.45020863934120114,0.04931939898533228,0.43699091478696744,0.06002449411959566,0.29184173293056775,0.044896605205691255,0.3201285784876848,0.05447269627197155,0.6372649084937618,0.0334406378660292,10
stratified,financial_only,random_forest,0.6363636363636364,0.05611030907712436,0.5556506301908382,0.11278863093925766,0.5092340225563909,0.05905509021196697,0.5149230112962841,0.06956207491305684,0.6271176558200772,0.05529190275809399,0.782816198960466,0.040349216196720744,10
stratified,financial_only,xgboost,0.6194805194805195,0.057772342841396505,0.5493071278938706,0.08748857531232096,0.5364505012531329,0.07142944165440378,0.5351373372803012,0.07191915807138514,0.615803909186105,0.05523851247199183,0.7498732168868447,0.03219598808526002,10
